frameno;frametime;red_count;green_count;red_pos;green_pos
1365;0.0118520259857;0;1;"[]";"[(399.5, 117.5)]"
1366;0.011029958725;0;2;"[]";"[(397.5, 116.5), (159.5, 98.5)]"
1367;0.371142864227;0;2;"[]";"[(397.5, 116.5), (159.5, 98.5)]"
1368;0.00836300849915;0;2;"[]";"[(392.5, 119.5), (156.5, 101.5)]"
1369;0.0120000839233;0;1;"[]";"[(391.5, 119.5)]"
1370;0.011775970459;0;1;"[]";"[(392.5, 116.5)]"
1371;0.00797700881958;0;1;"[]";"[(394.5, 115.5)]"
1372;0.00656390190125;0;1;"[]";"[(396.5, 116.5)]"
1373;0.00965404510498;0;1;"[]";"[(398.5, 116.5)]"
1374;0.0117609500885;0;1;"[]";"[(398.5, 116.5)]"
1375;0.0119149684906;0;1;"[]";"[(395.5, 115.5)]"
1376;0.00802493095398;0;1;"[]";"[(395.5, 114.5)]"
1377;0.0109579563141;0;1;"[]";"[(395.5, 116.5)]"
1378;0.0118200778961;0;1;"[]";"[(396.5, 116.5)]"
1379;0.00783801078796;0;1;"[]";"[(399.5, 115.5)]"
1380;0.0120179653168;0;1;"[]";"[(401.5, 112.5)]"
1381;0.0117580890656;0;1;"[]";"[(403.5, 110.5)]"
1382;0.0121040344238;0;1;"[]";"[(405.5, 108.5)]"
1383;0.00815796852112;0;1;"[]";"[(408.5, 108.5)]"
1384;0.00660610198975;0;1;"[]";"[(408.5, 109.5)]"
1385;0.0100128650665;0;1;"[]";"[(407.5, 109.5)]"
1386;0.012039899826;0;1;"[]";"[(407.5, 110.5)]"
1387;0.0120260715485;0;1;"[]";"[(408.5, 112.5)]"
1388;0.0120050907135;0;1;"[]";"[(409.5, 113.5)]"
1389;0.0119948387146;0;2;"[]";"[(409.5, 115.5), (161.5, 96.5)]"
1390;0.00795412063599;0;1;"[]";"[(408.5, 118.5)]"
1391;0.00651001930237;0;1;"[]";"[(408.5, 120.5)]"
1392;0.00961303710938;0;2;"[]";"[(408.5, 124.5), (159.5, 105.5)]"
1393;0.0119388103485;0;2;"[]";"[(405.5, 123.5), (153.5, 103.5)]"
1394;0.0115959644318;0;1;"[]";"[(405.5, 121.5)]"
1395;0.0110569000244;0;1;"[]";"[(405.5, 119.5)]"
1396;0.0120320320129;0;1;"[]";"[(403.5, 118.5)]"
1397;0.00799989700317;0;1;"[]";"[(404.5, 119.5)]"
1398;0.0119168758392;0;2;"[]";"[(406.5, 119.5), (153.5, 101.5)]"
1399;0.0118360519409;0;1;"[]";"[(410.5, 119.5)]"
1400;0.0120060443878;0;1;"[]";"[(417.5, 117.5)]"
