frameno;frametime;filtertime;radious;cir_pos;color
231;0.115705966949;0.00150609016418;"[6.6708322, 5.7008772, 5.7008772]";"[(644, 263), (385, 249), (856, 407)]";"[0, 0, 0]"
232;0.0908560752869;0.00130987167358;"[7.905694, 5.7008772]";"[(645, 263), (383, 249)]";"[0, 0]"
233;0.0964708328247;-1;"[]";"[]";"[]"
234;0.120313882828;0.00140500068665;"[6.6708322, 5.7008772]";"[(637, 264), (850, 406)]";"[0, 0]"
235;0.109690904617;0.00185203552246;"[6.6708322, 6.6708322]";"[(638, 263), (378, 249)]";"[0, 0]"
236;0.0942931175232;0.00169205665588;"[6.5192022, 6.6708322]";"[(634, 263), (375, 248)]";"[0, 0]"
237;0.112131118774;0.00184512138367;"[6.6708322]";"[(632, 265)]";"[0]"
238;0.0930449962616;0.00132393836975;"[5.7008772, 5.7008772]";"[(633, 269), (373, 253)]";"[0, 0]"
239;0.097512960434;0.0013210773468;"[6.9641943, 5.7008772]";"[(634, 269), (372, 255)]";"[0, 0]"
240;0.114385843277;0.00183415412903;"[6.5192022]";"[(632, 269)]";"[0]"
241;0.113847017288;0.00185418128967;"[6.6708322, 6.5192022]";"[(632, 270), (373, 254)]";"[0, 0]"
242;0.0938818454742;0.00171184539795;"[6.6708322]";"[(632, 269)]";"[0]"
243;0.108318090439;0.00180697441101;"[6.6708322, 6.6708322]";"[(374, 254), (844, 412)]";"[0, 0]"
244;0.103254079819;0.00145506858826;"[6.041523]";"[(633, 269)]";"[0]"
245;0.0979700088501;0.00130200386047;"[6.6708322, 5.7008772]";"[(631, 270), (371, 255)]";"[0, 0]"
246;0.108268022537;-1;"[]";"[]";"[]"
247;0.104886054993;0.001797914505;"[6.6708322]";"[(374, 253)]";"[0]"
248;0.106335878372;0.00142407417297;"[6.3639612, 5.7008772]";"[(635, 267), (375, 252)]";"[0, 0]"
249;0.111550092697;0.0015561580658;"[6.041523]";"[(635, 267)]";"[0]"
250;0.125995874405;0.00200605392456;"[6.5192022, 6.5192022]";"[(634, 266), (374, 251)]";"[0, 0]"
251;0.119756937027;-1;"[]";"[]";"[]"
252;0.0949549674988;0.00131011009216;"[7.6485291, 5.7008772]";"[(634, 266), (375, 251)]";"[0, 0]"
253;0.110799074173;0.00154781341553;"[6.3639612]";"[(636, 265)]";"[0]"
254;0.0944230556488;0.00168681144714;"[5.7008772, 5.7008772, 6.6708322]";"[(375, 249), (848, 407), (635, 264)]";"[0, 0, 0]"
255;0.110707044601;-1;"[]";"[]";"[]"
256;0.10611987114;0.00141096115112;"[7.1063352, 5.7008772]";"[(637, 261), (375, 247)]";"[0, 0]"
257;0.111325025558;0.00136303901672;"[6.041523]";"[(637, 261)]";"[0]"
258;0.0914649963379;-1;"[]";"[]";"[]"
259;0.110894918442;0.00187921524048;"[6.6708322]";"[(634, 259)]";"[0]"
260;0.102966070175;0.00173878669739;"[6.6708322, 6.6708322]";"[(633, 260), (374, 246)]";"[0, 0]"
261;0.115107059479;0.00180315971375;"[5.7008772, 6.6708322]";"[(635, 263), (376, 247)]";"[0, 0]"
262;0.110054016113;0.00150799751282;"[6.041523, 5.7008772]";"[(637, 263), (377, 248)]";"[0, 0]"
263;0.106033086777;0.00135397911072;"[6.6708322, 5.7008772]";"[(375, 249), (849, 406)]";"[0, 0]"
264;0.112664937973;0.00156712532043;"[6.3639612]";"[(637, 263)]";"[0]"
265;0.117766857147;0.00144100189209;"[6.6708322, 5.7008772]";"[(634, 261), (374, 248)]";"[0, 0]"
266;0.125741958618;0.00148582458496;"[6.6708322, 5.7008772, 5.7008772]";"[(633, 262), (373, 247), (846, 405)]";"[0, 0, 0]"
267;0.0964360237122;0.00182604789734;"[6.5192022]";"[(634, 262)]";"[0]"
268;0.108860969543;0.00180697441101;"[7.1063352, 6.6708322]";"[(636, 262), (372, 247)]";"[0, 0]"
